"player_name","player_home_region","player_current_region","team_name","account_server","account_name","account_last_active"
"0909","CN","CN","Oh My God","KR","Permaban12095955","2022-10-23 14:40:46"
"0909","CN","CN","Oh My God","NA","TL Honda Armao","2022-10-15 21:38:32"
"369","CN","CN","JD Gaming","KR","waywardzzz","2022-05-16 04:41:07"
"369","CN","CN","JD Gaming","KR","2639443362113504","2022-01-10 18:38:30"
"369","CN","CN","JD Gaming","KR","95260218del","2021-01-18 18:10:07"
"369","CN","CN","JD Gaming","KR","78120855del","2020-12-01 12:48:11"
"369","CN","CN","JD Gaming","KR","Xxqqq","2020-01-09 05:23:23"
"369","CN","CN","JD Gaming","NA","MM9 ghost","2022-10-29 05:24:13"
"3z","PCS","PCS","Hong Kong Attitude","EUW","NiaNia22","2019-11-04 00:00:00"
"3z","PCS","PCS","Hong Kong Attitude","KR","NiaNia22","2019-12-25 06:42:14"
"5Kid","KR","LLA","Team Aze","KR","???","2022-11-02 18:45:18"
"5Kid","KR","LLA","Team Aze","KR","Will Sgooth","2022-11-02 15:38:27"
"8917","PCS","CN","Anyone's Legend","KR","sugavvagus","2022-01-22 18:18:34"
"Abbedagge","EU","NA","100 Thieves","EUW","Deim Zubeir","2021-12-06 17:23:57"
"Abbedagge","EU","NA","100 Thieves","EUW","agdang","2021-11-15 11:24:00"
"Abbedagge","EU","NA","100 Thieves","EUW","2021Worlds0003","2021-09-15 08:13:10"
"Abbedagge","EU","NA","100 Thieves","EUW","100xGucci Dagge","2021-05-12 22:09:38"
"Abbedagge","EU","NA","100 Thieves","EUW","qboiwdqjwoqw","2019-12-13 23:51:13"
"Abbedagge","EU","NA","100 Thieves","KR","2858935022864320","2021-12-22 11:40:44"
"Abbedagge","EU","NA","100 Thieves","NA","babadagge","2022-10-16 17:38:31"
"Abbedagge","EU","NA","100 Thieves","NA","Teutonics KnighT","2022-08-06 00:01:47"
"Abbedagge","EU","NA","100 Thieves","NA","100xGucci Dagge","2021-09-08 03:14:13"
"Ablazeolive","NA","NA","Golden Guardians","NA","Ablazeolive","2022-11-02 23:52:32"
"Ablazeolive","NA","NA","Golden Guardians","NA","GG DN Ablaze","2022-11-02 14:51:22"
"Ablazeolive","NA","NA","Golden Guardians","NA","Acoldblazeolive","2022-10-21 12:24:38"
"Ablazeolive","NA","NA","Golden Guardians","NA","TSM Ahigholive","2019-08-18 08:22:05"
"Able","CN","CN","Oh My God","KR","kingpy game","2022-10-28 08:12:04"
"Able","CN","CN","Oh My God","KR","???2","2022-08-26 17:13:46"
"Able","CN","CN","Oh My God","KR","Blitzkrieg Bop","2020-09-19 07:39:00"
"Able","CN","CN","Oh My God","KR","happy   game","2020-06-07 20:34:44"
"Able","CN","CN","Oh My God","KR","Blitzkrieg Bop","2019-12-25 18:28:39"
"Able","CN","CN","Oh My God","KR","happy   game ","2019-12-21 11:38:30"
"Able","CN","CN","Oh My God","KR","????","2018-10-19 05:56:47"
"Able","CN","CN","Oh My God","KR","hkjniodsfuvrewt","2018-04-14 21:49:57"
"Ace","KR","KR","DRX","KR","jiace","2022-10-25 20:53:11"
"Ackerman","LLA","LLA","Infinity eSports","EUW","ACKERMÁN","2021-10-06 10:41:25"
"Ackerman","LLA","LLA","Infinity eSports","EUW","seventy thirty","2021-05-12 16:51:21"
"Ackerman","LLA","LLA","Infinity eSports","NA","ACKÈRMAN","2022-08-13 16:28:00"
"ADD","KR","LLA","Isurus Gaming","KR","ADD on win","2022-11-02 07:31:12"
"ADD","KR","LLA","Isurus Gaming","KR","????29??","2017-08-04 06:31:08"
"ADD","KR","LLA","Isurus Gaming","NA","ADD ON WIN","2022-09-24 03:30:24"
"Aegis","BR","BR","RED Canids","BR","Aegis","2022-11-02 03:24:30"
"Aegis","BR","BR","RED Canids","EUW","BARYON Aegis","2021-10-07 23:33:54"
"Aegis","BR","BR","RED Canids","EUW","JoJo fangirlQAQ","2021-09-13 18:45:31"
"Aegis","BR","BR","RED Canids","KR","2960771555551104","2022-05-14 10:31:34"
"Aegis","BR","BR","RED Canids","KR","FLAGGED 88437339","2022-04-30 00:54:20"
"Agresivoo","EU","EU","Team BDS","EUW","MR DUCKW0RTH","2022-09-20 21:06:07"
"Agresivoo","EU","EU","Team BDS","EUW","agrsv","2022-03-26 21:06:30"
"Ahn","CN","CN","Invictus Gaming","KR","Zui chi bi","2022-06-23 20:04:45"
"Aiming","KR","KR","KT Rolster","KR","???","2022-11-02 12:12:44"
"Aiming","KR","KR","KT Rolster","KR","???","2022-10-31 12:40:15"
"Aiming","KR","KR","KT Rolster","KR","74750546del","2021-06-19 15:33:08"
"Aiming","KR","KR","KT Rolster","KR","59030865del","2018-09-20 11:31:47"
"AKi","CN","CN","Oh My God","KR","no dream","2020-06-24 05:07:11"
"AKi","CN","CN","Oh My God","KR","79630446del","2020-01-18 07:02:47"
"Aladoric","OCE","OCE","Chiefs Esports Club","EUW","dr1p check","2021-10-28 14:17:03"
"Aladoric","OCE","OCE","Chiefs Esports Club","NA","CHF DORY","2022-10-01 06:37:59"
"Aladoric","OCE","OCE","Chiefs Esports Club","NA","FLAGGED 15961047","2022-09-14 12:29:47"
"Aladoric","OCE","OCE","Chiefs Esports Club","OCE","111111111111111a","2022-06-28 12:59:35"
"Ale","CN","CN","LNG Esports","EUW","LNGLNGLNG","2021-10-17 12:05:13"
"Ale","CN","CN","LNG Esports","KR","xxxxxxxxt","2022-07-13 12:29:13"
"Ale","CN","CN","LNG Esports","KR","2639435175495584","2022-01-12 07:26:42"
"Ale","CN","CN","LNG Esports","KR","73000757del","2020-12-09 08:34:37"
"Alex","PCS","PCS","AHQ e-Sports Club","EUW","wo bu xin","2019-11-04 00:00:00"
